player_id,player_name,count_all_possessions,avg_duration_all_possessions,avg_distance_covered_all_possessions
14736,L. Verstraete,9.0,1.966666666666667,4.686666666666667
23418,F. Gallegos,10.0,1.02,2.167
33697,N. Pijnaker,12.0,1.0666666666666667,3.0066666666666664
38673,G. May,2.0,2.0,10.705
43829,N. Moreno,2.0,2.8,10.4
50951,J. Brimmer,3.0,2.3333333333333335,3.8766666666666665
50983,D. Ingham,3.0,2.0,7.373333333333332
51649,A. Šušnjar,2.0,2.95,14.695
51667,D. Hall,3.0,0.5333333333333333,1.0233333333333332
51713,C. Elliott,6.0,2.9166666666666665,9.956666666666665
133498,F. De Vries,16.0,1.85625,4.905
133501,L. Rogerson,4.0,2.4250000000000003,6.2
176224,P. Cancar,2.0,0.65,1.27
560992,D. Wilmering,1.0,1.2,5.9
735573,T. Aquilina,1.0,1.0,2.63
735574,K. Grozos,6.0,1.05,2.91
735578,M. Natta,1.0,0.5,0.52
795505,E. Adams,6.0,2.4166666666666665,9.534999999999998
795507,L. Bayliss,2.0,1.3,3.705
797297,M. Scarcella,1.0,0.6,0.77
965685,L. Gillion,6.0,3.65,12.908333333333333
966120,B. Gibson,1.0,0.0,0.0
